============================================================
  WATER NETWORK DEMAND SETUP: 2026-07-08 12:44:37.854844
============================================================
Config: avg_demand=0.003, dist=lognormal, mode=random, preserve_patterns=True

JUNCTION_ID          | BASE_DEMAND  | PATTERN_NAME   
------------------------------------------------------------
[MODE: PRESERVE DEMAND PATTERNS]

Junction_3447        | 0.0000       | PASS_THROUGH   
Junction_3448        | 0.0000       | PASS_THROUGH   
Junction_3449        | 0.0000       | PASS_THROUGH   
Junction_3450        | 0.0000       | PASS_THROUGH   
Junction_3451        | 0.0000       | PASS_THROUGH   
Junction_3452        | 0.0000       | PASS_THROUGH   
Junction_3453        | 0.0000       | PASS_THROUGH   
Junction_3454        | 0.0000       | PASS_THROUGH   
Junction_3455        | 0.0000       | 1              
Junction_3456        | 0.0000       | PASS_THROUGH   
Junction_3457        | 0.0000       | PASS_THROUGH   
Junction_3458        | 0.0000       | PASS_THROUGH   
Junction_3459        | 0.0000       | PASS_THROUGH   
Junction_3460        | 0.0000       | PASS_THROUGH   
Junction_3461        | 0.0000       | PASS_THROUGH   
Junction_3462        | 0.0000       | PASS_THROUGH   
Junction_3463        | 0.0000       | PASS_THROUGH   
Junction_3464        | 0.0000       | PASS_THROUGH   
Junction_3465        | 0.0000       | PASS_THROUGH   
Junction_3466        | 0.0000       | PASS_THROUGH   
Junction_3467        | 0.0000       | PASS_THROUGH   
Junction_3468        | 0.0000       | Utenze_CSA     
Junction_3469        | 0.0000       | PASS_THROUGH   
Junction_3470        | 0.0000       | PASS_THROUGH   
Junction_3471        | 0.0000       | PASS_THROUGH   
Junction_3477        | 0.0000       | PASS_THROUGH   
Junction_3478        | 0.0000       | PASS_THROUGH   
Junction_3479        | 0.0000       | PASS_THROUGH   
Junction_3480        | 0.0000       | PASS_THROUGH   
Junction_3481        | 0.0000       | PASS_THROUGH   
Junction_3482        | 0.0000       | PASS_THROUGH   
Junction_3483        | 0.0000       | PASS_THROUGH   
Junction_3484        | 0.0000       | PASS_THROUGH   
Junction_3485        | 0.0000       | PASS_THROUGH   
Junction_3486        | 0.0000       | PASS_THROUGH   
Junction_3487        | 0.0000       | PASS_THROUGH   
Junction_3488        | 0.0000       | PASS_THROUGH   
Junction_3489        | 0.0000       | PASS_THROUGH   
Junction_3490        | 0.0000       | PASS_THROUGH   
Junction_3491        | 0.0000       | PASS_THROUGH   
Junction_3492        | 0.0000       | PASS_THROUGH   
Junction_3493        | 0.0000       | PASS_THROUGH   
Junction_3494        | 0.0000       | PASS_THROUGH   
Junction_3496        | 0.0000       | PASS_THROUGH   
Junction_3497        | 0.0000       | PASS_THROUGH   
Junction_3498        | 0.0000       | PASS_THROUGH   
Junction_3499        | 0.0000       | PASS_THROUGH   
Junction_3500        | 0.0000       | PASS_THROUGH   
Junction_3501        | 0.0000       | PASS_THROUGH   
Junction_3502        | 0.0000       | PASS_THROUGH   
Junction_3503        | 0.0000       | PASS_THROUGH   
Junction_3504        | 0.0000       | PASS_THROUGH   
Junction_3505        | 0.0000       | PASS_THROUGH   
Junction_3506        | 0.0000       | PASS_THROUGH   
Junction_3507        | 0.0000       | PASS_THROUGH   
Junction_3508        | 0.0000       | PASS_THROUGH   
Junction_3509        | 0.0000       | PASS_THROUGH   
Junction_3510        | 0.0000       | PASS_THROUGH   
Junction_3511        | 0.0000       | PASS_THROUGH   
Junction_3512        | 0.0000       | PASS_THROUGH   
Junction_3595        | 0.0000       | PASS_THROUGH   

============================================================
Setup completed for 432 nodes.

[SETUP] REMOVING EXISTING TANKS (0 found)
------------------------------------------------------------
  No existing tanks found to remove.
------------------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_0 <--> Junction_2360
    - Valve: IoT_Valve_New_0 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_1 <--> Junction_2099
    - Valve: IoT_Valve_New_1 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_2 <--> Junction_2334
    - Valve: IoT_Valve_New_2 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_3 <--> Junction_2382
    - Valve: IoT_Valve_New_3 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_4 <--> Junction_2341
